game_id,drive,play_count,run_pct,pass_pct,success_rate,avg_epa,start_yardline,end_yardline,drive_result,field_pos_gain,cluster
2016_12_ARI_ATL,10.0,6,0.0,1.0,0.6666666666666666,-0.3890019969743059,,,Turnover,,2
2016_12_ARI_ATL,12.0,9,0.2222222222222222,0.4444444444444444,0.3333333333333333,-0.3121929256659412,,,Punt,,1
2016_12_ARI_ATL,14.0,14,0.5,0.42857142857142855,0.7142857142857143,0.40248745468243013,,,Touchdown,,1
2016_12_ARI_ATL,16.0,12,0.4166666666666667,0.4166666666666667,0.5833333333333334,0.3862244947960622,,,Touchdown,,1
2016_12_ARI_ATL,18.0,8,0.5,0.25,0.875,0.7351816850498576,,,Touchdown,,1
2016_12_ARI_ATL,20.0,2,0.6666666666666666,0.0,0.0,-1.0152463279664532,,,End of half,,0
2016_13_KC_ATL,1.0,13,0.3076923076923077,0.46153846153846156,0.7692307692307693,0.4032635632321827,,,Touchdown,,1
2016_13_KC_ATL,3.0,9,0.3333333333333333,0.1111111111111111,0.5555555555555556,0.1422733611737693,,,Field goal,,1
2016_13_KC_ATL,5.0,12,0.3076923076923077,0.46153846153846156,0.5384615384615384,0.023752083894438232,,,Field goal,,1
2016_13_KC_ATL,7.0,10,0.2,0.4,0.3,-0.18035086118616162,,,Punt,,1
2016_13_KC_ATL,9.0,1,0.0,1.0,0.0,-7.6664285530569,,,Opp touchdown,,2
2016_13_KC_ATL,10.0,6,0.16666666666666666,0.5,0.6666666666666666,0.38937651608527357,,,Field goal,,1
2016_13_KC_ATL,12.0,11,0.2727272727272727,0.6363636363636364,0.45454545454545453,-0.13362684807824782,,,Turnover on downs,,1
2016_13_KC_ATL,14.0,15,0.4375,0.3125,0.5625,0.2984133615200407,,,Touchdown,,1
2016_13_KC_ATL,16.0,11,0.5454545454545454,0.45454545454545453,0.5454545454545454,0.25339127447727117,,,Touchdown,,1
2016_14_ATL_LA,2.0,2,0.0,0.5,1.0,0.5929383233526966,,,Touchdown,,1
2016_14_ATL_LA,3.0,4,0.25,0.5,0.25,-0.5447651672875508,,,Punt,,2
2016_14_ATL_LA,5.0,5,0.4,0.4,0.2,-0.5418034601025294,,,Punt,,0
2016_14_ATL_LA,7.0,10,0.2727272727272727,0.5454545454545454,0.5454545454545454,0.6639792380354912,,,Touchdown,,1
